pose_id,X_m,Y_m,Z_m,radius_m,step_m,speed_m_s,time_ok,quaternion_ok,within_envelope,has_nan_or_inf,notes
0,-0.007587656,0.049392188,0.000000000,0.049971600,0.000000000,0.025000000,True,True,True,False,
1,-0.006700312,0.048627422,0.000000000,0.049086865,0.001171429,0.025000000,True,True,True,False,
2,-0.005812969,0.047862656,0.000000000,0.048214359,0.001171428,0.025000000,True,True,True,False,
3,-0.004925625,0.047098125,0.000000000,0.047354991,0.001171276,0.025000000,True,True,True,False,
4,-0.004038281,0.046333594,0.000000000,0.046509243,0.001171276,0.025000000,True,True,True,False,
5,-0.003158671,0.045565547,0.000000000,0.045674898,0.001167737,0.025000000,True,True,True,False,
6,-0.002279062,0.044797500,0.000000000,0.044855436,0.001167736,0.025000000,True,True,True,False,
7,-0.001495781,0.043986797,0.000000000,0.044012222,0.001127284,0.025000000,True,True,True,False,
8,-0.000712500,0.043176094,0.000000000,0.043181973,0.001127284,0.025000000,True,True,True,False,
9,-0.000290390,0.042205078,0.000000000,0.042206077,0.001058796,0.025000000,True,True,True,False,
10,0.000131719,0.041234063,0.000000000,0.041234273,0.001058795,0.025000000,True,True,True,False,
11,0.000202265,0.040107422,0.000000000,0.040107932,0.001128848,0.025000000,True,True,True,False,
12,0.000272812,0.038980781,0.000000000,0.038981736,0.001128848,0.025000000,True,True,True,False,
13,0.000251016,0.037812891,0.000000000,0.037813724,0.001168093,0.025000000,True,True,True,False,
14,0.000229219,0.036645000,0.000000000,0.036645717,0.001168094,0.025000000,True,True,True,False,
15,0.000200157,0.035474063,0.000000000,0.035474628,0.001171298,0.025000000,True,True,True,False,
16,0.000171094,0.034303125,0.000000000,0.034303552,0.001171299,0.025000000,True,True,True,False,
17,0.000142032,0.033132188,0.000000000,0.033132492,0.001171298,0.025000000,True,True,True,False,
18,0.000112969,0.031961250,0.000000000,0.031961450,0.001171299,0.025000000,True,True,True,False,
19,0.000083906,0.030790312,0.000000000,0.030790426,0.001171299,0.025000000,True,True,True,False,
