char,style,case_type,source_output_dir,generated_figure,connection_count,connector_draw_length,connector_mean_width,connector_mean_pressure,mean_width,aspect_ratio,diagnostic_focus,needs_user_review
国,xingkai,long_xingkai_connector,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\connector_overlay_u56fd_xingkai.png,7,810.947,4.245,0.338,7.29022,0.848725,"Check whether xingkai connector is too long, too straight, or crossing components.",true
德,xingkai,long_xingkai_connector,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\connector_overlay_u5fb7_xingkai.png,14,878.275,4.245,0.338,7.158401,1.092558,"Check whether xingkai connector is too long, too straight, or crossing components.",true
福,xingkai,long_xingkai_connector,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\connector_overlay_u798f_xingkai.png,12,886.413,4.245,0.338,7.112963,1.094683,"Check whether xingkai connector is too long, too straight, or crossing components.",true
人,xingkai,brush_width_diagnostic,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\brush_width_diagnostic_u4eba_xingkai.png,1,131.33,4.245,0.338,8.074409,1.487047,Compare stroke and connector width/pressure; check whether fixed render hides differences.,true
人,kaishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4eba.png,0,0.0,0.0,0.0,9.0,1.414861,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
人,lishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4eba.png,0,0.0,0.0,0.0,10.0,2.036019,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
人,xingkai,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4eba.png,1,131.33,4.2446,0.338,8.074409,1.487047,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
中,kaishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_kaishu_20260617_200746_949523,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4e2d.png,0,0.0,0.0,0.0,9.0,0.693486,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
中,lishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_lishu_20260617_200747_434585,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4e2d.png,0,0.0,0.0,0.0,10.0,0.997268,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
中,xingkai,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_xingkai_20260617_200747_188596,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u4e2d.png,3,310.786,4.2446,0.338,7.715285,0.730097,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
和,kaishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_kaishu_20260617_200754_846285,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u548c.png,0,0.0,0.0,0.0,9.0,0.992528,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
和,lishu,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_lishu_20260617_200755_453193,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u548c.png,0,0.0,0.0,0.0,10.0,1.428057,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
和,xingkai,style_side_by_side,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_xingkai_20260617_200755_134353,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\style_side_by_side_u548c.png,7,531.326,4.2446,0.338,7.469496,1.044831,"Compare centerline, execution width, and connector-highlighted visual difference across styles.",true
人,kaishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u4eba.png,0,0.0,0.0,0.0,9.0,1.414861,Check whether lishu is mainly global horizontal widening / vertical compression.,true
人,lishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u4eba.png,0,0.0,0.0,0.0,10.0,2.036019,Check whether lishu is mainly global horizontal widening / vertical compression.,true
好,kaishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u597d.png,0,0.0,0.0,0.0,9.0,1.213725,Check whether lishu is mainly global horizontal widening / vertical compression.,true
好,lishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u597d.png,0,0.0,0.0,0.0,10.0,1.745202,Check whether lishu is mainly global horizontal widening / vertical compression.,true
风,kaishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_kaishu_20260617_200803_912432,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u98ce.png,0,0.0,0.0,0.0,9.0,1.190911,Check whether lishu is mainly global horizontal widening / vertical compression.,true
风,lishu,lishu_deformation,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_lishu_20260617_200805_153657,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\connector_brush_visual_diagnostics_20260618_093510\figures\lishu_deformation_u98ce.png,0,0.0,0.0,0.0,10.0,1.714482,Check whether lishu is mainly global horizontal widening / vertical compression.,true
