char,char_id,style,basis_image,endpoint_count,branch_point_count,skeleton_pixel_count,connected_component_count,aspect_ratio,median_aspect_ratio,aspect_gap,issue_tags,audit_priority,manual_decision,manual_comment
德,u5fb7,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5fb7.png,23,39,846,8,1.052326,1.039521,0.012805,high_endpoint_count;high_branch_count;disconnected_skeleton;complex_skeleton,8,,
德,u5fb7,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5fb7.png,18,40,748,6,1.46875,1.039521,0.429229,high_endpoint_count;high_branch_count;disconnected_skeleton;complex_skeleton,8,,
福,u798f,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u798f.png,19,44,834,5,1.141026,1.044888,0.096138,high_endpoint_count;high_branch_count;disconnected_skeleton;complex_skeleton,8,,
国,u56fd,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u56fd.png,12,26,782,3,0.812121,0.807388,0.004733,high_endpoint_count;disconnected_skeleton;complex_skeleton,7,,
国,u56fd,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u56fd.png,8,12,735,3,1.375,0.807388,0.567612,disconnected_skeleton;high_aspect_gap;complex_skeleton,7,,
德,u5fb7,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5fb7.png,20,79,971,1,0.97076,1.039521,-0.068761,high_endpoint_count;high_branch_count;complex_skeleton,7,,
福,u798f,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u798f.png,9,24,780,5,1.487603,1.044888,0.442715,disconnected_skeleton;high_aspect_gap;complex_skeleton,7,,
福,u798f,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u798f.png,12,35,725,3,1.044586,1.044888,-0.000302,high_endpoint_count;high_branch_count;disconnected_skeleton,7,,
中,u4e2d,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4e2d.png,3,17,427,1,1.195312,0.69988,0.495432,high_aspect_gap,5,,
山,u5c71,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5c71.png,4,5,332,1,1.375,0.945007,0.429993,high_aspect_gap,5,,
风,u98ce,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u98ce.png,5,11,458,1,1.631579,1.188427,0.443152,high_aspect_gap,5,,
中,u4e2d,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4e2d.png,7,29,498,1,0.744444,0.69988,0.044564,promising_candidate,4,,
中,u4e2d,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4e2d.png,5,30,499,1,0.649746,0.69988,-0.050134,promising_candidate,4,,
和,u548c,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u548c.png,12,30,597,2,1.104938,0.990111,0.114827,high_endpoint_count;disconnected_skeleton,4,,
和,u548c,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u548c.png,8,16,496,2,1.495798,0.990111,0.505687,disconnected_skeleton;high_aspect_gap,4,,
