char,char_id,image_path,source_image_path,selected_styles,selection_reasons,max_audit_priority
德,u5fb7,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u5fb7.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5fb7.png,"kaishu,lishu,xingkai",complex_skeleton;disconnected_skeleton;high_branch_count;high_endpoint_count,8
福,u798f,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u798f.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u798f.png,"kaishu,lishu,xingkai",complex_skeleton;disconnected_skeleton;high_aspect_gap;high_branch_count;high_endpoint_count,8
国,u56fd,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u56fd.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u56fd.png,"kaishu,lishu,xingkai",complex_skeleton;disconnected_skeleton;high_aspect_gap;high_endpoint_count;promising_candidate,7
中,u4e2d,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u4e2d.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4e2d.png,"kaishu,lishu,xingkai",high_aspect_gap;promising_candidate,5
山,u5c71,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u5c71.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5c71.png,"kaishu,lishu,xingkai",high_aspect_gap;promising_candidate,5
风,u98ce,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u98ce.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u98ce.png,"kaishu,lishu,xingkai",disconnected_skeleton;high_aspect_gap;promising_candidate,5
和,u548c,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u548c.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u548c.png,"kaishu,lishu,xingkai",disconnected_skeleton;high_aspect_gap;high_branch_count;high_endpoint_count,4
明,u660e,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u660e.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u660e.png,"kaishu,lishu,xingkai",complex_skeleton;disconnected_skeleton;high_aspect_gap;high_branch_count,4
永,u6c38,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u6c38.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u6c38.png,"kaishu,lishu,xingkai",disconnected_skeleton;high_aspect_gap;high_endpoint_count;promising_candidate,4
人,u4eba,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_audit_20260619_120211\selected_images\basis_compare_u4eba.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4eba.png,"kaishu,lishu,xingkai",promising_candidate,2
