char,image_path,styles_rendered,warnings
山,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5c71.png,"kaishu,xingkai,lishu",
中,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4e2d.png,"kaishu,xingkai,lishu",
永,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u6c38.png,"kaishu,xingkai,lishu",
人,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4eba.png,"kaishu,xingkai,lishu",
国,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u56fd.png,"kaishu,xingkai,lishu",
德,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5fb7.png,"kaishu,xingkai,lishu",
福,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u798f.png,"kaishu,xingkai,lishu",
明,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u660e.png,"kaishu,xingkai,lishu",
和,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u548c.png,"kaishu,xingkai,lishu",
风,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u98ce.png,"kaishu,xingkai,lishu",
