char,style,font_available,rendered_ok,skeleton_success,skeleton_method,font_path,basis_compare_png,font_mask_png,connected_component_count,skeleton_pixel_count,aspect_ratio,bbox_width,bbox_height,branch_point_count,endpoint_count,median_available,median_bbox_width,median_bbox_height,median_aspect_ratio,bbox_aspect_delta_vs_median,warnings
山,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5c71_kaishu.png,1,354,1.087591,149,137,12,6,True,203.214356,215.04,0.945007,0.142584,
山,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5c71_xingkai.png,1,398,1.027586,149,145,16,7,True,203.214356,215.04,0.945007,0.082579,
山,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5c71_lishu.png,1,332,1.375,154,112,5,4,True,203.214356,215.04,0.945007,0.429993,
中,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4e2d_kaishu.png,1,498,0.744444,134,180,29,7,True,150.502185,215.04,0.69988,0.044564,
中,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4e2d_xingkai.png,1,499,0.649746,128,197,30,5,True,150.502185,215.04,0.69988,-0.050134,
中,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4e2d_lishu.png,1,427,1.195312,153,128,17,3,True,150.502185,215.04,0.69988,0.495432,
永,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u6c38_kaishu.png,3,480,1.023392,175,171,22,12,True,215.04,203.829384,1.055,-0.031608,
永,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u6c38_xingkai.png,1,541,0.902174,166,184,25,8,True,215.04,203.829384,1.055,-0.152826,
永,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u6c38_lishu.png,3,462,1.560976,192,123,12,10,True,215.04,203.829384,1.055,0.505976,
人,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4eba_kaishu.png,1,263,1.345588,183,136,4,4,True,215.04,151.986696,1.414861,-0.069273,
人,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4eba_xingkai.png,1,236,1.653846,172,104,8,4,True,215.04,151.986696,1.414861,0.238985,
人,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u4eba_lishu.png,1,228,1.575,189,120,4,3,True,215.04,151.986696,1.414861,0.160139,
国,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u56fd_kaishu.png,3,782,0.812121,134,165,26,12,True,173.620686,215.04,0.807388,0.004733,
国,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u56fd_xingkai.png,1,662,0.809211,123,152,20,7,True,173.620686,215.04,0.807388,0.001823,
国,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u56fd_lishu.png,3,735,1.375,154,112,12,8,True,173.620686,215.04,0.807388,0.567612,
德,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5fb7_kaishu.png,8,846,1.052326,181,172,39,23,True,215.04,206.864516,1.039521,0.012805,
