char,style,variant,profile_source,horizontal_scale,vertical_scale,base_width,aspect_ratio,bbox_width,bbox_height,path_length,connection_count,connector_draw_length,mean_width,stroke_width_range,visual_change_expected,needs_user_review,aspect_ratio_delta,bbox_width_delta,bbox_height_delta,path_length_delta,mean_width_delta,note,output_dir,preview_png,execution_render_png,execution_debug_png,summary_json
人,kaishu,current,current_style_profiles,1.0,1.0,9.0,1.414861,215.04,151.987,351.564,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_kaishu_20260618_155353_194034,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_kaishu_20260618_155353_194034\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_kaishu_20260618_155353_194034\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_kaishu_20260618_155353_194034\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_kaishu_20260618_155353_194034\summary.json
人,kaishu,phase1,phase1_candidate_comparison_only,1.0,1.0,6.320909,1.414861,215.04,151.987,351.564,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_kaishu_20260618_155353_296812,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_kaishu_20260618_155353_296812\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_kaishu_20260618_155353_296812\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_kaishu_20260618_155353_296812\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_kaishu_20260618_155353_296812\summary.json
人,xingkai,current,current_style_profiles,1.03,0.98,9.5,1.487047,221.491,148.947,484.146,1,131.33,8.074409,5.255,high,True,-0.128204,-10.752,6.14,-1.718,0.005172,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_xingkai_20260618_155353_401850,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_xingkai_20260618_155353_401850\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_xingkai_20260618_155353_401850\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_xingkai_20260618_155353_401850\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_xingkai_20260618_155353_401850\summary.json
人,xingkai,phase1,phase1_candidate_comparison_only,0.98,1.0204,9.575023,1.358843,210.739,155.087,482.428,1,130.39,8.079581,5.255,high,True,-0.128204,-10.752,6.14,-1.718,0.005172,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_xingkai_20260618_155353_498415,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_xingkai_20260618_155353_498415\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_xingkai_20260618_155353_498415\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_xingkai_20260618_155353_498415\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_xingkai_20260618_155353_498415\summary.json
人,lishu,current,current_style_profiles,1.18,0.82,10.0,2.036019,253.747,124.629,351.73,0,0.0,10.0,0.0,low,True,-0.002358,4.064,2.143,5.857,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_lishu_20260618_155353_642089,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_lishu_20260618_155353_642089\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_lishu_20260618_155353_642089\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_lishu_20260618_155353_642089\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4eba_lishu_20260618_155353_642089\summary.json
人,lishu,phase1,phase1_candidate_comparison_only,1.1989,0.8341,8.956169,2.033661,257.811,126.772,357.587,0,0.0,10.0,0.0,low,True,-0.002358,4.064,2.143,5.857,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_lishu_20260618_155353_748113,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_lishu_20260618_155353_748113\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_lishu_20260618_155353_748113\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_lishu_20260618_155353_748113\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4eba_lishu_20260618_155353_748113\summary.json
中,kaishu,current,current_style_profiles,1.0,1.0,9.0,0.693486,149.127,215.04,603.423,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_kaishu_20260618_155353_877283,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_kaishu_20260618_155353_877283\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_kaishu_20260618_155353_877283\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_kaishu_20260618_155353_877283\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_kaishu_20260618_155353_877283\summary.json
中,kaishu,phase1,phase1_candidate_comparison_only,1.0,1.0,6.320909,0.693486,149.127,215.04,603.423,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_kaishu_20260618_155353_985553,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_kaishu_20260618_155353_985553\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_kaishu_20260618_155353_985553\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_kaishu_20260618_155353_985553\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_kaishu_20260618_155353_985553\summary.json
中,xingkai,current,current_style_profiles,1.03,0.98,9.5,0.730097,153.86,210.739,915.162,3,310.786,7.715285,5.255,medium,True,-0.063314,-7.55,8.688,-1.571,0.001618,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_xingkai_20260618_155354_122890,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_xingkai_20260618_155354_122890\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_xingkai_20260618_155354_122890\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_xingkai_20260618_155354_122890\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_xingkai_20260618_155354_122890\summary.json
中,xingkai,phase1,phase1_candidate_comparison_only,0.98,1.0204,9.575023,0.666783,146.31,219.427,913.591,3,309.971,7.716903,5.255,medium,True,-0.063314,-7.55,8.688,-1.571,0.001618,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_xingkai_20260618_155354_237458,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_xingkai_20260618_155354_237458\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_xingkai_20260618_155354_237458\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_xingkai_20260618_155354_237458\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_xingkai_20260618_155354_237458\summary.json
