char,char_id,style,figure_path,cleanup_status,warning
山,u5c71,kaishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u5c71_kaishu.png,success,
山,u5c71,lishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u5c71_lishu.png,success,
中,u4e2d,kaishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u4e2d_kaishu.png,success,
中,u4e2d,lishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u4e2d_lishu.png,success,
人,u4eba,kaishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u4eba_kaishu.png,success,
人,u4eba,lishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u4eba_lishu.png,success,
永,u6c38,kaishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u6c38_kaishu.png,success,cleaned_skeleton_disconnected
永,u6c38,lishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u6c38_lishu.png,success,cleaned_skeleton_disconnected
风,u98ce,kaishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u98ce_kaishu.png,success,cleaned_skeleton_disconnected
风,u98ce,lishu,experiments\llm_style_trajectory\outputs\font_skeleton_cleanup_prototype_20260619_122355\figures\cleanup_compare_u98ce_lishu.png,success,
