char,style,case_type,reason,priority,image_path,summary_row_ref,output_dir,aspect_ratio,path_length,connection_count,connector_draw_length,mean_width,workspace_path_length_mm,manual_check_focus
人,kaishu,high_aspect_spread,人 的三风格 aspect_ratio 差异较强，spread=0.621,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\01_人_kaishu_high_aspect_spread.png,人-kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344,1.414861,351.564,0,0.0,9.0,225.955,看三风格是否肉眼可分；重点判断 lishu 是否只是横向拉宽，还是有真实隶书笔画特征。
人,lishu,high_aspect_spread,人 的三风格 aspect_ratio 差异较强，spread=0.621,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\02_人_lishu_high_aspect_spread.png,人-lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475,2.036019,351.73,0,0.0,10.0,227.566,看三风格是否肉眼可分；重点判断 lishu 是否只是横向拉宽，还是有真实隶书笔画特征。
人,xingkai,high_aspect_spread,人 的三风格 aspect_ratio 差异较强，spread=0.621,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\03_人_xingkai_high_aspect_spread.png,人-xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177,1.487047,484.146,1,131.33,8.074409,226.944,看三风格是否肉眼可分；重点判断 lishu 是否只是横向拉宽，还是有真实隶书笔画特征。
好,kaishu,high_aspect_spread,好 的三风格 aspect_ratio 差异较强，spread=0.531,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\04_好_kaishu_high_aspect_spread.png,好-kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974,1.213725,792.516,0,0.0,9.0,522.615,看三风格是否肉眼可分；重点判断 lishu 是否只是横向拉宽，还是有真实隶书笔画特征。
好,lishu,high_aspect_spread,好 的三风格 aspect_ratio 差异较强，spread=0.531,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\05_好_lishu_high_aspect_spread.png,好-lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622,1.745202,802.753,0,0.0,10.0,507.738,看三风格是否肉眼可分；重点判断 lishu 是否只是横向拉宽，还是有真实隶书笔画特征。
国,xingkai,long_xingkai_connector,行楷 connector_draw_length 较长：810.947,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\06_国_xingkai_long_xingkai_connector.png,国-xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631,0.848725,1928.631,7,810.947,7.29022,904.046,优先看连接段是否过长、过直或穿越部件；判断是否需要限制 connector 规则。
德,xingkai,long_xingkai_connector,行楷 connector_draw_length 较长：878.275,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\07_德_xingkai_long_xingkai_connector.png,德-xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353,1.092558,1971.169,14,878.275,7.158401,923.986,优先看连接段是否过长、过直或穿越部件；判断是否需要限制 connector 规则。
福,xingkai,long_xingkai_connector,行楷 connector_draw_length 较长：886.413,1,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\08_福_xingkai_long_xingkai_connector.png,福-xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042,1.094683,1951.564,12,886.413,7.112963,914.798,优先看连接段是否过长、过直或穿越部件；判断是否需要限制 connector 规则。
人,lishu,high_lishu_aspect,隶书 aspect_ratio 较高：2.036,2,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\09_人_lishu_high_lishu_aspect.png,人-lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475,2.036019,351.73,0,0.0,10.0,227.566,看 lishu 是否宽扁过度；是否只是全局横向拉伸而缺少隶书笔意。
好,lishu,high_lishu_aspect,隶书 aspect_ratio 较高：1.745,2,experiments\llm_style_trajectory\outputs\style_visual_audit_20260617_224321\selected_images\10_好_lishu_high_lishu_aspect.png,好-lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622,1.745202,802.753,0,0.0,10.0,507.738,看 lishu 是否宽扁过度；是否只是全局横向拉伸而缺少隶书笔意。
