char,style,source_execution_csv,figure_path,value_mode,normalization,stroke_width_min,stroke_width_max,connector_width_min,connector_width_max,stroke_pressure_min,stroke_pressure_max,connector_pressure_min,connector_pressure_max,stroke_width_nearly_constant,connector_width_nearly_constant,needs_user_review
国,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u56fd_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
国,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u56fd_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
国,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u56fd_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
国,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u56fd_xingkai_20260617_200802_724631\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u56fd_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
德,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u5fb7_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
德,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u5fb7_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
德,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u5fb7_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
德,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u5fb7_xingkai_20260617_200807_821353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u5fb7_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
福,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u798f_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
福,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u798f_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
福,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u798f_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
福,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u798f_xingkai_20260617_200806_334042\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u798f_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
人,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4eba_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
人,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4eba_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
人,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4eba_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
