char,style,variant,source_case_dir,execution_csv,connection_count,connector_draw_length,connector_mean_width,connector_mean_pressure,stroke_width_range,stroke_pressure_range,path_length,has_curved_connector,connector_reduction_vs_baseline,connector_increase_vs_conservative,kaishu_lishu_connector_violation,needs_user_review,review_focus,compare_png,width_pressure_png
国,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u56fd_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u56fd_xingkai\baseline_execution_trajectory.csv,7,810.946,4.245,0.338,0.0,0.0,1928.631,False,0,6,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u56fd_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u56fd_xingkai.png
国,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u56fd_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u56fd_xingkai\conservative_execution_trajectory.csv,1,106.146,4.245,0.338,3.23,0.18,1928.631,False,6,0,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u56fd_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u56fd_xingkai.png
国,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u56fd_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u56fd_xingkai\balanced_execution_trajectory.csv,2,150.731,4.245,0.338,4.18,0.22,1929.966,True,5,1,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u56fd_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u56fd_xingkai.png
德,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u5fb7_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u5fb7_xingkai\baseline_execution_trajectory.csv,14,878.276,4.245,0.338,0.0,0.0,1971.171,False,0,13,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u5fb7_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u5fb7_xingkai.png
德,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u5fb7_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u5fb7_xingkai\conservative_execution_trajectory.csv,1,45.035,4.245,0.338,3.23,0.18,1971.171,False,13,0,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u5fb7_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u5fb7_xingkai.png
德,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u5fb7_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u5fb7_xingkai\balanced_execution_trajectory.csv,3,123.149,4.245,0.338,4.18,0.22,1972.261,True,11,2,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u5fb7_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u5fb7_xingkai.png
福,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u798f_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u798f_xingkai\baseline_execution_trajectory.csv,12,886.416,4.245,0.338,0.0,0.0,1951.568,False,0,11,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u798f_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u798f_xingkai.png
福,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u798f_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u798f_xingkai\conservative_execution_trajectory.csv,1,96.856,4.245,0.338,3.229996,0.18,1951.568,False,11,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u798f_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u798f_xingkai.png
福,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u798f_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u798f_xingkai\balanced_execution_trajectory.csv,1,87.219,4.245,0.338,4.179994,0.22,1952.341,True,11,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u798f_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u798f_xingkai.png
和,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u548c_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u548c_xingkai\baseline_execution_trajectory.csv,7,531.324,4.245,0.338,0.0,0.0,1375.187,False,0,5,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u548c_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u548c_xingkai.png
